n,k,t
1,10,159.4
11,10,230.027272727273
21,10,283.6
31,10,397.325806451613
41,10,530.295121951219
51,10,622.596078431373
61,10,779.629508196721
71,10,969.118309859155
81,10,1089.28518518519
91,10,1177.8032967033
101,10,1457.67227722772
111,10,1518.17567567568
121,10,1754.74049586777
131,10,1854.99236641221
141,10,2108.11631205674
151,10,2278.70264900662
161,10,2427.05341614907
171,10,2521.49005847953
181,10,2714.4817679558
191,10,2871.3109947644
201,10,2867.13084577114
211,10,3157.94028436019
221,10,3330.53303167421
231,10,3522.56623376623
241,10,3522.16390041494
251,10,3660.49721115538
261,10,3921.4908045977
271,10,4047.07749077491
281,10,4294.72918149466
291,10,4385.1883161512
301,10,4483.08737541528
311,10,4747.32829581994
321,10,4811.51682242991
331,10,5076.27160120846
341,10,5170.68387096774
351,10,5358.43304843305
361,10,5487.04930747922
371,10,5657.32938005391
381,10,5791.82335958005
391,10,5903.0820971867
401,10,6148.05236907731
411,10,6367.89635036496
421,10,6299.49049881235
431,10,6585.58329466357
441,10,6823.17142857143
451,10,7037.64700665189
461,10,7110.54164859002
471,10,7220.03142250531
481,10,7363.07442827443
491,10,7607.02912423625
501,10,7568.95508982036
1,100,159.4
11,100,230.027272727273
21,100,280.9
31,100,374.741935483871
41,100,502.243902439024
51,100,606.733333333333
61,100,757.208196721311
71,100,938.532394366197
81,100,1026.00740740741
91,100,1149.5010989011
101,100,1369.12871287129
111,100,1498.66396396396
121,100,1654.9
131,100,1789.99847328244
141,100,2043.78581560284
151,100,2153.94635761589
161,100,2315.87080745342
171,100,2413.35380116959
181,100,2531.00055248619
191,100,2741.46963350785
201,100,2725.21641791045
211,100,3010.34691943128
221,100,3056.12352941176
231,100,3320.26147186147
241,100,3300.11618257261
251,100,3454.00717131474
261,100,3657.20996168582
271,100,3769.80258302583
281,100,4029.96476868327
291,100,4132.00034364261
301,100,4137.30265780731
311,100,4330.44212218649
321,100,4457.95732087227
331,100,4647.43232628399
341,100,4771.44105571847
351,100,4957.52307692308
361,100,5099.65180055402
371,100,5225.63773584906
381,100,5353.97979002625
391,100,5459.21074168798
401,100,5662.68079800499
411,100,5849.51605839416
421,100,5859.7864608076
431,100,6058.25684454756
441,100,6265.59070294785
451,100,6531.83237250554
461,100,6592.12321041215
471,100,6743.7881104034
481,100,6765.93929313929
491,100,6966.63279022403
501,100,6946.82155688623
1,150,159.4
11,150,230.027272727273
21,150,280.9
31,150,374.741935483871
41,150,502.243902439024
51,150,606.733333333333
61,150,757.208196721311
71,150,938.532394366197
81,150,1026.00740740741
91,150,1149.5010989011
101,150,1369.12871287129
111,150,1501.23873873874
121,150,1657.69917355372
131,150,1798.18244274809
141,150,2050.66879432624
151,150,2153.77284768212
161,150,2334.53602484472
171,150,2447.73450292398
181,150,2532.98839779006
191,150,2790.57748691099
201,150,2768.65870646766
211,150,3042.48530805687
221,150,3101.01764705882
231,150,3400.82207792208
241,150,3324.6622406639
251,150,3528.30956175299
261,150,3670.32030651341
271,150,3806.22472324723
281,150,4013.71209964413
291,150,4159.09037800687
301,150,4173.69833887043
311,150,4365.75434083601
321,150,4503.54143302181
331,150,4709.18519637462
341,150,4810.76070381232
351,150,4990.54045584046
361,150,5145.46066481994
371,150,5272.58490566038
381,150,5396.7188976378
391,150,5482.86751918159
401,150,5670.35960099751
411,150,5913.8600973236
421,150,5886.71662707838
431,150,6065.7505800464
441,150,6292.55646258503
451,150,6583.57605321508
461,150,6607.05292841649
471,150,6728.44670912951
481,150,6791.5972972973
491,150,6996.10753564155
501,150,6969.86946107784
1,2,159.4
11,2,430.245454545455
21,2,912.704761904762
31,2,1195.49677419355
41,2,1816.03902439024
51,2,2143.53333333333
61,2,2688.47540983607
71,2,3222.34225352113
81,2,3672.25555555556
91,2,3919.33736263736
101,2,4691.61386138614
111,2,4979.64504504504
121,2,5589.93140495868
131,2,5971.39770992366
141,2,6672.08085106383
151,2,7057.12450331126
161,2,7550.99130434783
171,2,7950.33859649123
181,2,8424.26022099447
191,2,8973.06753926702
201,2,9051.48109452736
211,2,9821.67677725118
221,2,10303.6416289593
231,2,10915.5484848485
241,2,11040.3547717842
251,2,11481.0725099602
261,2,12229.4
271,2,12506.3944649446
281,2,13383.4601423488
291,2,13716.860137457
301,2,13946.3083056478
311,2,14505.129903537
321,2,15034.568847352
331,2,15548.2785498489
341,2,16003.5794721408
351,2,16426.1096866097
361,2,16849.9493074792
371,2,17391.9056603774
381,2,17823.8648293963
391,2,18233.6109974425
401,2,18900.2426433915
411,2,19470.4695863747
421,2,19447.3479809976
431,2,20332.1589327146
441,2,20816.4718820862
451,2,21596.2625277162
461,2,21847.9023861171
471,2,22210.989596603
481,2,22447.3428274428
491,2,23033.8484725051
501,2,23169.5357285429
1,200,159.4
11,200,230.027272727273
21,200,280.9
31,200,374.741935483871
41,200,502.243902439024
51,200,606.733333333333
61,200,757.208196721311
71,200,938.532394366197
81,200,1026.00740740741
91,200,1149.5010989011
101,200,1369.12871287129
111,200,1501.23873873874
121,200,1657.69917355372
131,200,1798.18244274809
141,200,2050.66879432624
151,200,2153.77284768212
161,200,2334.53602484472
171,200,2444.59766081871
181,200,2523.92154696133
191,200,2805.91623036649
201,200,2762.76865671642
211,200,3043.49099526066
221,200,3124.37194570136
231,200,3435.5619047619
241,200,3341.07261410788
251,200,3563.75099601594
261,200,3696.96130268199
271,200,3854.55867158672
281,200,4047.47758007117
291,200,4205.07147766323
301,200,4198.25880398671
311,200,4370.35466237942
321,200,4550.42180685358
331,200,4726.40574018127
341,200,4853.8780058651
351,200,5040.93789173789
361,200,5206.67534626039
371,200,5328.72884097035
381,200,5442.62362204724
391,200,5540.32787723785
401,200,5742.64563591022
411,200,5972.83406326034
421,200,5958.6945368171
431,200,6134.72993039443
441,200,6361.33174603175
451,200,6597.21929046563
461,200,6642.77527114968
471,200,6756.1949044586
481,200,6825.26819126819
491,200,7023.08044806517
501,200,7010.24471057884
1,25,159.4
11,25,230.027272727273
21,25,280.9
31,25,374.741935483871
41,25,503.163414634146
51,25,592.423529411765
61,25,732.991803278689
71,25,910.630985915493
81,25,1006.84567901235
91,25,1086.46153846154
101,25,1334.68910891089
111,25,1417.86216216216
121,25,1590.53801652893
131,25,1719.90839694656
141,25,1960.23404255319
151,25,2110.24105960265
161,25,2210.6900621118
171,25,2354.20701754386
181,25,2490.81767955801
191,25,2666.80680628272
201,25,2654.9631840796
211,25,2927.97914691943
221,25,3056.28009049774
231,25,3269.85974025974
241,25,3243.53651452282
251,25,3388.57250996016
261,25,3612.92298850575
271,25,3744.23136531365
281,25,3983.69395017794
291,25,4114.75051546392
301,25,4145.07142857143
311,25,4378.77588424437
321,25,4425.29034267913
331,25,4698.78277945619
341,25,4766.21788856305
351,25,4959.85213675214
361,25,5076.98531855956
371,25,5284.47601078167
381,25,5346.66666666667
391,25,5463.826342711
401,25,5679.37032418953
411,25,5921.8301703163
421,25,5855.38598574822
431,25,6111.0807424594
441,25,6302.0156462585
451,25,6512.17161862528
461,25,6612.56268980477
471,25,6711.96326963907
481,25,6846.1577962578
491,25,7054.38676171079
501,25,6999.8624750499
1,250,159.4
11,250,230.027272727273
21,250,280.9
31,250,374.741935483871
41,250,502.243902439024
51,250,606.733333333333
61,250,757.208196721311
71,250,938.532394366197
81,250,1026.00740740741
91,250,1149.5010989011
101,250,1369.12871287129
111,250,1501.23873873874
121,250,1657.69917355372
131,250,1798.18244274809
141,250,2050.66879432624
151,250,2153.77284768212
161,250,2334.53602484472
171,250,2444.59766081871
181,250,2523.92154696133
191,250,2805.91623036649
201,250,2762.76865671642
211,250,3043.49099526066
221,250,3127.83212669683
231,250,3441.11515151515
241,250,3333.14813278008
251,250,3554.52988047809
261,250,3707.44827586207
271,250,3861.16974169742
281,250,4060.33416370107
291,250,4226.05326460481
301,250,4228.9365448505
311,250,4377.94405144695
321,250,4569.39221183801
331,250,4744.21782477341
341,250,4853.45659824047
351,250,5075.82193732194
361,250,5240.51135734072
371,250,5385.43692722372
381,250,5458.74461942257
391,250,5606.31611253197
401,250,5786.57730673317
411,250,6021.34184914842
421,250,6002.70878859857
431,250,6184.78422273782
441,250,6402.33696145125
451,250,6645.79667405765
461,250,6711.27288503254
471,250,6819.12929936306
481,250,6878.78378378378
491,250,7095.17983706721
501,250,7035.64291417166
1,3,159.4
11,3,303.072727272727
21,3,585.957142857143
31,3,903.361290322581
41,3,1202.31951219512
51,3,1425.07450980392
61,3,1794.97049180328
71,3,2123.76901408451
81,3,2438.61111111111
91,3,2604.52747252747
101,3,3168.7396039604
111,3,3347.98558558559
121,3,3779.42644628099
131,3,4039.28778625954
141,3,4524.41276595745
151,3,4778.87417218543
161,3,5162.03664596273
171,3,5403.37719298246
181,3,5692.68729281768
191,3,6142.53560209424
201,3,6226.53233830846
211,3,6773.11611374408
221,3,7011.68868778281
231,3,7434.23246753247
241,3,7540.03153526971
251,3,7829.51235059761
261,3,8328.91800766283
271,3,8546.0741697417
281,3,9115.21103202847
291,3,9396.66013745705
301,3,9552.70631229236
311,3,9896.74855305466
321,3,10198.5894080997
331,3,10674.2090634441
341,3,10928.9152492669
351,3,11210.5857549858
361,3,11571.7980609418
371,3,11937.3606469003
381,3,12316.6034120735
391,3,12420.6698209719
401,3,12919.4556109726
411,3,13349.798540146
421,3,13298.3206650831
431,3,13883.5839907193
441,3,14255.8195011338
451,3,14812.3514412417
461,3,14971.0091106291
471,3,15201.1454352442
481,3,15374.1904365904
491,3,15828.9643584521
501,3,15874.4850299401
1,4,159.4
11,4,250.3
21,4,429.62380952381
31,4,660.945161290323
41,4,918.417073170732
51,4,1078.10980392157
61,4,1381.84426229508
71,4,1645.5985915493
81,4,1860.79382716049
91,4,2035.56813186813
101,4,2421.10396039604
111,4,2623.48468468468
121,4,2940.90826446281
131,4,3166.39312977099
141,4,3522.47943262411
151,4,3726.75894039735
161,4,3999.66335403727
171,4,4200.93157894737
181,4,3984.17900552486
191,4,4808.4780104712
201,4,4827.1
211,4,5257.74075829384
221,4,5482.95158371041
231,4,5826.91774891775
241,4,5902.49253112033
