n,k,t
1,50,159.4
11,50,230.027272727273
21,50,280.9
31,50,374.741935483871
41,50,502.243902439024
51,50,606.733333333333
61,50,757.208196721311
71,50,931.546478873239
81,50,1028.5049382716
91,50,1150.26483516484
101,50,1353.09306930693
111,50,1452.90810810811
121,50,1620.10495867769
131,50,1745.73893129771
141,50,1963.64964539007
151,50,2128.00331125828
161,50,2224.8049689441
171,50,2371.54093567251
181,50,2482.08011049724
191,50,2697.71256544503
201,50,2657.5631840796
211,50,2962.30236966825
221,50,3037.44751131222
231,50,3283.89177489177
241,50,3264.23443983402
251,50,3421.32629482072
261,50,3622.3816091954
271,50,3725.64870848709
281,50,3986.77793594306
291,50,4097.04810996564
301,50,4139.35581395349
311,50,4345.21704180064
321,50,4438.26635514019
331,50,4689.64894259819
341,50,4744.53137829912
351,50,4929.45811965812
361,50,5081.13850415512
371,50,5232.94959568733
381,50,5331.95223097113
391,50,5486.10997442455
401,50,5664.77705735661
411,50,5885.3496350365
421,50,5839.66199524941
431,50,6102.62180974478
441,50,6278.08344671202
451,50,6552.8623059867
461,50,6597.04924078091
471,50,6722.08174097665
481,50,6813.34428274428
491,50,7004.216700611
501,50,6981.45908183633
