n,k,t
1,5,159.4
11,5,237.863636363636
21,5,353.22380952381
31,5,551.9
41,5,755.082926829268
51,5,903.019607843137
61,5,1155.63606557377
71,5,1387.12957746479
81,5,1581.58395061728
91,5,1683.08241758242
101,5,2078.6
111,5,2181.03693693694
121,5,2489.91818181818
131,5,2646.11221374046
141,5,2974.52553191489
151,5,3188.42516556291
161,5,3370.19068322981
171,5,3551.70584795322
181,5,3795.34696132597
191,5,4052.93089005236
201,5,4080.08606965174
211,5,4428.15308056872
221,5,4648.04479638009
231,5,4934.67532467533
241,5,4956.34439834025
251,5,5200.38366533865
261,5,5531.72643678161
271,5,5640.68339483395
281,5,6015.75195729537
291,5,6189.40206185567
301,5,6314.19069767442
311,5,6548.35819935691
321,5,6782.27289719626
331,5,7125.39607250755
341,5,7256.43225806452
351,5,7492.38774928775
361,5,7670.7540166205
371,5,7938.99433962264
381,5,8135.10734908137
391,5,8250.05754475703
401,5,8556.00548628429
411,5,8856.90170316302
421,5,8816.25534441805
431,5,9200.3030162413
441,5,9501.82675736961
451,5,9846.27716186253
461,5,9926.62190889371
471,5,10139.1271762208
481,5,10204.472972973
491,5,10509.4260692464
501,5,10577.0506986028
