n,k,t
1,3,159.4
11,3,303.072727272727
21,3,585.957142857143
31,3,903.361290322581
41,3,1202.31951219512
51,3,1425.07450980392
61,3,1794.97049180328
71,3,2123.76901408451
81,3,2438.61111111111
91,3,2604.52747252747
101,3,3168.7396039604
111,3,3347.98558558559
121,3,3779.42644628099
131,3,4039.28778625954
141,3,4524.41276595745
151,3,4778.87417218543
161,3,5162.03664596273
171,3,5403.37719298246
181,3,5692.68729281768
191,3,6142.53560209424
201,3,6226.53233830846
211,3,6773.11611374408
221,3,7011.68868778281
231,3,7434.23246753247
241,3,7540.03153526971
251,3,7829.51235059761
261,3,8328.91800766283
271,3,8546.0741697417
281,3,9115.21103202847
291,3,9396.66013745705
301,3,9552.70631229236
311,3,9896.74855305466
321,3,10198.5894080997
331,3,10674.2090634441
341,3,10928.9152492669
351,3,11210.5857549858
361,3,11571.7980609418
371,3,11937.3606469003
381,3,12316.6034120735
391,3,12420.6698209719
401,3,12919.4556109726
411,3,13349.798540146
421,3,13298.3206650831
431,3,13883.5839907193
441,3,14255.8195011338
451,3,14812.3514412417
461,3,14971.0091106291
471,3,15201.1454352442
481,3,15374.1904365904
491,3,15828.9643584521
501,3,15874.4850299401
