n,k,t
1,4,159.4
11,4,250.3
21,4,429.62380952381
31,4,660.945161290323
41,4,918.417073170732
51,4,1078.10980392157
61,4,1381.84426229508
71,4,1645.5985915493
81,4,1860.79382716049
91,4,2035.56813186813
101,4,2421.10396039604
111,4,2623.48468468468
121,4,2940.90826446281
131,4,3166.39312977099
141,4,3522.47943262411
151,4,3726.75894039735
161,4,3999.66335403727
171,4,4200.93157894737
181,4,3984.17900552486
191,4,4808.4780104712
201,4,4827.1
211,4,5257.74075829384
221,4,5482.95158371041
231,4,5826.91774891775
241,4,5902.49253112033
251,4,6156.73545816733
261,4,6500.96475095785
271,4,6710.28929889299
281,4,7159.32384341637
291,4,7296.36529209622
301,4,7501.78936877076
311,4,7750.39003215434
321,4,8034.91962616822
331,4,8399.34803625378
341,4,8631.07302052786
351,4,8750.48376068376
361,4,9068.4243767313
371,4,9401.81805929919
381,4,9600.15669291339
391,4,9768.34910485934
401,4,10183.0189526185
411,4,10466.8588807786
421,4,10424.7897862233
431,4,10909.7642691415
441,4,11133.5115646259
451,4,11659.4549889135
461,4,11732.3440347072
471,4,11940.0898089172
481,4,12035.0673596674
491,4,12388.6289205703
501,4,12397.5413173653
