n,k,t
1,10,159.4
11,10,230.027272727273
21,10,283.6
31,10,397.325806451613
41,10,530.295121951219
51,10,622.596078431373
61,10,779.629508196721
71,10,969.118309859155
81,10,1089.28518518519
91,10,1177.8032967033
101,10,1457.67227722772
111,10,1518.17567567568
121,10,1754.74049586777
131,10,1854.99236641221
141,10,2108.11631205674
151,10,2278.70264900662
161,10,2427.05341614907
171,10,2521.49005847953
181,10,2714.4817679558
191,10,2871.3109947644
201,10,2867.13084577114
211,10,3157.94028436019
221,10,3330.53303167421
231,10,3522.56623376623
241,10,3522.16390041494
251,10,3660.49721115538
261,10,3921.4908045977
271,10,4047.07749077491
281,10,4294.72918149466
291,10,4385.1883161512
301,10,4483.08737541528
311,10,4747.32829581994
321,10,4811.51682242991
331,10,5076.27160120846
341,10,5170.68387096774
351,10,5358.43304843305
361,10,5487.04930747922
371,10,5657.32938005391
381,10,5791.82335958005
391,10,5903.0820971867
401,10,6148.05236907731
411,10,6367.89635036496
421,10,6299.49049881235
431,10,6585.58329466357
441,10,6823.17142857143
451,10,7037.64700665189
461,10,7110.54164859002
471,10,7220.03142250531
481,10,7363.07442827443
491,10,7607.02912423625
501,10,7568.95508982036
